"user_id","nativeLang"
3166,"English"
3169,"English"
3177,"Turkish"
3180,"Portuguese"
3181,"English"
3186,"English"
3188,"Tagalog"
3189,"English"
3202,"Indonesian"
3203,"Spanish"
3204,"Bengali"
3208,"English"
3209,"English"
3210,"Italian"
3211,"English"
3216,"Italian"
3217,"English"
3219,"English"
3220,"English"
3221,"English"
3223,"Spanish"
3225,"English"
3229,"English"
3230,"English"
3233,"English"
3235,"English"
3249,"Chinese/Mandarin"
3253,"Ukrainian"
3255,"English"
3267,"English"
3271,"Adyghe"
3274,"Chinese/Cantonese/Yue"
3275,"Chinese/Mandarin"
3277,"English"
3279,"Swedish"
3286,"German"
3287,"Japanese"
3292,"English"
3293,"English"
3295,"English"
3302,"Finnish"
3304,"Swedish"
3307,"English"
3311,"English"
3315,"Slovene"
3322,"German"
3325,"Italian"
3327,"Greek"
3329,"Croatian"
3331,"English"
3333,"Swedish"
3339,"Japanese"
3341,"French"
3342,"English"
3343,"Italian"
3347,"Croatian"
3353,"Japanese"
3365,"English"
3368,"English"
3372,"Chinese/Mandarin"
3373,"Indonesian"
3387,"Finnish"
3388,"English"
3393,"Russian"
3401,"English"
3403,"Spanish"
3405,"English"
3407,"Polish"
3408,"Spanish"
3416,"Chinese/Mandarin"
3421,"Croatian"
3422,"English"
3424,"English"
3428,"English"
3430,"Chinese/Mandarin"
3433,"Greek"
3435,"Greek"
3442,"Greek"
3446,"English"
3448,"Greek"
3450,"Polish"
3454,"Greek"
3457,"Greek"
3458,"English"
3461,"Greek"
3463,"Greek"
3464,"Greek"
3466,"Albanian"
3471,"English"
3473,"Albanian"
3474,"Italian"
3475,"Greek"
3479,"Finnish"
3480,"Greek"
3481,"Greek"
3482,"Greek"
3483,"Dutch"
3487,"Greek"
3490,"English"
3491,"Greek"
3492,"Greek"
3497,"English"
3500,"Greek"
3502,"Greek"
3504,"English"
3505,"Lithuanian"
3507,"Greek"
3508,"Greek"
3517,"Greek"
3521,"Greek"
3525,"Greek"
3528,"Greek"
3529,"Greek"
3536,"Danish"
3537,"English"
3538,"Tagalog"
3539,"Greek"
3540,"English"
3543,"Greek"
3544,"English"
3545,"French"
3546,"Greek"
3548,"Greek"
3549,"Polish"
3550,"Greek"
3551,"Greek"
3552,"Greek"
3555,"Greek"
3564,"German"
3572,"Abkhaz"
3573,"English"
3574,"Greek"
3578,"English"
3581,"English"
3585,"French"
3587,"Greek"
3591,"Turkish"
3592,"French"
3593,"English"
3600,"Korean"
3605,"Polish"
3606,"Italian"
3612,"Chinese/Cantonese/Yue"
3614,"Russian"
3622,"Greek"
3623,"Chinese/Mandarin"
3631,"Greek"
3636,"English"
3640,"Italian"
3643,"Portuguese"
3644,"English"
3649,"English"
3656,"Apache"
3663,"Spanish"
3666,"Chinese/Mandarin"
3668,"Russian"
3671,"English"
3673,"Spanish"
3695,"English"
3698,"English"
