"user_id","yrsLessons"
3754,"More than 10 years"
3764,"Less than a year"
3765,"4-6 years"
3768,"More than 10 years"
3770,"1-2 years"
3773,"4-6 years"
3785,"4-6 years"
3789,"4-6 years"
3791,"1-2 years"
3795,"1-2 years"
3798,"More than 10 years"
3799,"Less than a year"
3800,"4-6 years"
3807,"More than 10 years"
3817,"4-6 years"
3822,"2-4 years"
3826,"More than 10 years"
3829,"6-10 years"
3831,"More than 10 years"
3832,"2-4 years"
3842,"More than 10 years"
3843,"4-6 years"
3844,"More than 10 years"
3848,"2-4 years"
3852,"4-6 years"
3856,"6-10 years"
3859,"2-4 years"
3868,"2-4 years"
3870,"6-10 years"
3873,"4-6 years"
3874,"6-10 years"
3876,"More than 10 years"
3878,"4-6 years"
3892,"2-4 years"
3901,"More than 10 years"
3913,"More than 10 years"
3921,"6-10 years"
3922,"6-10 years"
3923,"4-6 years"
3925,"More than 10 years"
3930,"Less than a year"
3935,"1-2 years"
3937,"More than 10 years"
3942,"6-10 years"
3944,"4-6 years"
3947,"2-4 years"
3953,"More than 10 years"
3963,"2-4 years"
3968,"6-10 years"
3969,"1-2 years"
3973,"1-2 years"
3974,"4-6 years"
3976,"6-10 years"
3980,"6-10 years"
3981,"1-2 years"
3995,"2-4 years"
3996,"More than 10 years"
4012,"4-6 years"
4015,"1-2 years"
4021,"1-2 years"
4027,"4-6 years"
4029,"More than 10 years"
4031,"More than 10 years"
4040,"6-10 years"
4049,"Less than a year"
4053,"4-6 years"
4060,"2-4 years"
4065,"More than 10 years"
4067,"More than 10 years"
4073,"More than 10 years"
4075,"4-6 years"
4081,"4-6 years"
4083,"1-2 years"
4086,"2-4 years"
4091,"4-6 years"
4092,"6-10 years"
4100,"4-6 years"
4101,"6-10 years"
4105,"4-6 years"
4106,"More than 10 years"
4107,"1-2 years"
4113,"More than 10 years"
4126,"2-4 years"
4130,"1-2 years"
4132,"1-2 years"
4136,"More than 10 years"
4139,"2-4 years"
4141,"4-6 years"
4143,"More than 10 years"
4155,"More than 10 years"
4157,"6-10 years"
4165,"2-4 years"
4170,"1-2 years"
4174,"Less than a year"
4177,"4-6 years"
4180,"4-6 years"
4183,"4-6 years"
4193,"4-6 years"
4194,"More than 10 years"
4196,"1-2 years"
4199,"4-6 years"
4200,"More than 10 years"
4208,"4-6 years"
4210,"2-4 years"
4211,"4-6 years"
4217,"Less than a year"
4219,"More than 10 years"
4225,"6-10 years"
4232,"Less than a year"
4233,"4-6 years"
4249,"4-6 years"
4252,"1-2 years"
4265,"6-10 years"
4266,"Less than a year"
4271,"4-6 years"
4274,"6-10 years"
4281,"More than 10 years"
4293,"Less than a year"
4295,"Less than a year"
4302,"More than 10 years"
4309,"4-6 years"
4310,"2-4 years"
4315,"1-2 years"
4318,"2-4 years"
4330,"More than 10 years"
4331,"1-2 years"
4336,"4-6 years"
4339,"2-4 years"
4340,"4-6 years"
4344,"Less than a year"
4345,"6-10 years"
4353,"4-6 years"
4363,"More than 10 years"
4364,"More than 10 years"
4369,"4-6 years"
4371,"4-6 years"
4372,"1-2 years"
4379,"2-4 years"
4387,"1-2 years"
4388,"6-10 years"
4389,"More than 10 years"
4390,"6-10 years"
4391,"6-10 years"
4392,"2-4 years"
4394,"More than 10 years"
4397,"6-10 years"
4400,"2-4 years"
4404,"More than 10 years"
4406,"6-10 years"
4417,"1-2 years"
4420,"More than 10 years"
4425,"6-10 years"
4426,"4-6 years"
4427,"4-6 years"
4447,"6-10 years"
4473,"Less than a year"
4474,"1-2 years"
4478,"2-4 years"
4480,"6-10 years"
4486,"1-2 years"
4488,"4-6 years"
4493,"4-6 years"
4494,"2-4 years"
4510,"Less than a year"
4514,"6-10 years"
4520,"More than 10 years"
4525,"2-4 years"
4528,"2-4 years"
4530,"2-4 years"
4532,"4-6 years"
4542,"2-4 years"
4570,"4-6 years"
4579,"4-6 years"
4587,"6-10 years"
4591,"6-10 years"
4596,"Less than a year"
