"user_id","nativeLang"
240172,"Tamil"
240177,"English"
240180,"English"
240186,"English"
240187,"English"
240188,"Swedish"
240207,"English"
240208,"English"
240209,"Thai"
240210,"French"
240211,"Thai"
240213,"Polish"
240216,"English"
240219,"Korean"
240220,"Tagalog"
240224,"Swedish"
240225,"Thai"
240229,"Abenaki"
240230,"English"
240231,"English"
240233,"English"
240239,"English"
240240,"French"
240242,"Slovak"
240245,"English"
240247,"Abenaki"
240249,"Ukrainian"
240258,"English"
240264,"Russian"
240265,"French"
240269,"Hungarian"
240274,"Spanish"
240278,"English"
240279,"Arabic"
240285,"Serbian"
240286,"Polish"
240288,"French"
240293,"Hebrew"
240304,"Spanish"
240307,"English"
240311,"English"
240323,"English"
240324,"English"
240328,"German"
240329,"English"
240330,"German"
240333,"Chinese/Mandarin"
240337,"Serbian"
240340,"Spanish"
240344,"English"
240346,"Czech"
240348,"Saanich"
240364,"Spanish"
240372,"English"
240376,"English"
240377,"English"
240382,"Czech"
240383,"English"
240385,"English"
240389,"English"
240391,"English"
240394,"English"
240399,"Italian"
240401,"Azeri"
240402,"English"
240403,"English"
240404,"Polish"
240406,"Polish"
240408,"English"
240411,"English"
240415,"English"
240416,"English"
240417,"English"
240418,"English"
240421,"Polish"
240423,"English"
240425,"English"
240430,"English"
240432,"Greek"
240435,"English"
240438,"English"
240439,"Abkhaz"
240440,"English"
240444,"English"
240446,"Spanish"
240449,"Portuguese"
240458,"English"
240459,"Spanish"
240466,"English"
240467,"Spanish"
240469,"Spanish"
240478,"English"
240479,"Spanish"
240480,"English"
240486,"Chinese/Mandarin"
240492,"Vietnamese"
240493,"Hebrew"
240495,"English"
240497,"Spanish"
240498,"English"
240502,"English"
240503,"English"
240513,"English"
240516,"Spanish"
240523,"Vietnamese"
240527,"Chinese/Cantonese/Yue"
240533,"Chinese/Cantonese/Yue"
240535,"English"
240545,"English"
240547,"English"
240553,"English"
240558,"English"
240566,"English"
240568,"English"
240572,"English"
240579,"Other"
240580,"Spanish"
240589,"Spanish"
240609,"English"
240634,"English"
240636,"Latin"
240652,"Other"
240653,"Other"
240658,"Other"
240667,"English"
240671,"Italian"
240673,"English"
240679,"English"
240680,"English"
240694,"Portuguese"
240696,"Swiss German"
240697,"German"
240699,"Russian"
240701,"English"
240703,"American Sign Language"
240705,"Other"
240710,"Russian"
240711,"English"
240712,"English"
240713,"English"
240715,"English"
240720,"Tarahumara"
240726,"Chinese/Mandarin"
240729,"Spanish"
240730,"Spanish"
240731,"Other"
240738,"Spanish"
240739,"English"
240742,"English"
240744,"English"
240747,"Spanish"
240748,"English"
240751,"Spanish"
240752,"Spanish"
240753,"Spanish"
240757,"English"
240762,"Other"
240768,"Vietnamese"
240769,"Tagalog"
240787,"Other"
240801,"Spanish"
240834,"Other"
240836,"Other"
240840,"English"
240841,"Turkish"
240843,"Serbian"
240854,"Spanish"
240860,"Polish"
240865,"French"
240869,"Polish"
240877,"Russian"
240879,"German"
240880,"Afrikaans"
240887,"English"
240896,"English"
240900,"Spanish"
240905,"English"
240910,"English"
240912,"English"
240914,"Adyghe"
240916,"English"
240918,"Russian"
240921,"English"
240922,"English"
240931,"Spanish"
240932,"English"
240934,"English"
240936,"English"
240937,"English"
240938,"English"
240941,"English"
240942,"French"
240951,"English"
240953,"English"
240959,"Nepalese"
240961,"English"
240962,"English"
240963,"Croatian"
240969,"English"
240970,"English"
240973,"English"
240974,"Georgian"
240975,"English"
240977,"Aramaic"
240980,"Spanish"
240986,"English"
240988,"Spanish"
240989,"English"
240993,"Spanish"
240994,"German"
240996,"Spanish"
240999,"Spanish"
241003,"English"
241004,"Spanish"
241006,"Spanish"
241010,"Spanish"
241012,"Abenaki"
241017,"Malayalam"
241022,"Chinese/Cantonese/Yue"
241023,"English"
241028,"English"
241032,"English"
241038,"Malayalam"
241039,"English"
241048,"English"
241075,"English"
241077,"Finnish"
241079,"Chinese/Mandarin"
241093,"English"
241096,"Armenian"
241111,"Italian"
241113,"Portuguese"
241118,"French"
241126,"English"
241131,"Thai"
241138,"English"
241147,"English"
241155,"Spanish"
241157,"Russian"
241158,"Turkish"
241162,"Farsi"
241166,"Spanish"
241168,"English"
241169,"Other"
241174,"Spanish"
241179,"English"
241181,"English"
241186,"Spanish"
241187,"Esperanto"
241196,"German"
241198,"English"
241205,"English"
241209,"Aramaic"
241210,"English"
241211,"Latin"
241213,"English"
241219,"English"
241220,"English"
241228,"English"
241234,"Turkish"
241238,"Italian"
241246,"Spanish"
241249,"Russian"
241252,"English"
241253,"Slovak"
241254,"Russian"
241257,"Other"
241262,"Other"
241265,"English"
241266,"English"
241274,"Other"
241276,"French"
241277,"English"
241284,"English"
241286,"English"
241289,"English"
241290,"Portuguese"
241292,"English"
241309,"Marathi"
241313,"Other"
241325,"Other"
241329,"Chinese/Mandarin"
241331,"Spanish"
241335,"English"
241341,"English"
241344,"English"
241346,"English"
241351,"English"
241352,"English"
241354,"English"
241360,"English"
241361,"Polish"
241365,"English"
241373,"English"
241379,"German"
241382,"English"
241383,"English"
241384,"English"
241386,"Armenian"
241388,"English"
241389,"English"
241392,"English"
241395,"French"
241397,"English"
241403,"Hebrew"
241408,"English"
241412,"English"
241413,"Finnish"
241415,"French"
241416,"French"
241419,"English"
241427,"English"
241436,"Ayapathu"
241442,"English"
241443,"English"
241444,"English"
241450,"English"
241455,"English"
241458,"Russian"
241469,"English"
241472,"English"
241473,"English"
241476,"English"
